Date;EHIMainReturn;EHIArbitrageReturn;EHIManagedFuturesReturn;EHIDistressedDebtReturn;EHIEventDrivenReturn;EHIFixedIncomeReturn;EHILSEquityReturn;EHIMacroReturn;EHIMultiStrategyReturn;EHIRelativeValueReturn;GB1MValue;SPXValue;IEFValue;DXYValue;BAA10YValue;VIXYValue;GSGValue;RSSCValue;RSLCValue;RSVValue;RSGValue;MTUMValue;PHDGValue
2010-01-01;-0,0048;0,0075;-0,0158;0,0277;0,0104;0,0126;-0,0097;-0,0026;-0,0010;0,0045;0,0001;1073,8700;90,7000;79,4600;0,0252;0,0000;29,2400;602,0400;0,0000;55,6700;47,6100;0,0000;0,0000
2010-02-01;0,0081;0,0083;0,0088;0,0099;0,0132;0,0079;0,0076;0,0031;0,0067;0,0146;0,0009;1104,4900;90,6900;80,3600;0,0265;0,0000;30,9700;628,5600;0,0000;57,3700;49,2700;0,0000;0,0000
2010-03-01;0,0236;0,0132;0,0141;0,0291;0,0339;0,0197;0,0308;0,0123;0,0217;0,0187;0,0015;1169,4300;89,5000;81,0700;0,0254;0,0000;31,1600;678,6400;0,0000;60,9600;51,9500;0,0000;0,0000
2010-04-01;0,0117;0,0078;0,0119;0,0263;0,0189;0,0143;0,0117;0,0076;0,0086;0,0114;0,0014;1186,6900;90,7200;81,8700;0,0240;0,0000;32,1400;716,6000;0,0000;62,5400;52,5100;0,0000;0,0000
2010-05-01;-0,0236;-0,0154;-0,0087;-0,0233;-0,0304;-0,0104;-0,0376;-0,0072;-0,0207;-0,0143;0,0015;1089,4100;93,1000;86,5900;0,0263;0,0000;27,7700;661,6100;0,0000;57,4100;48,4800;0,0000;0,0000
2010-06-01;-0,0041;-0,0007;0,0075;-0,0057;-0,0134;0,0059;-0,0129;0,0025;-0,0053;0,0026;0,0016;1030,7100;95,6700;86,0200;0,0303;0,0000;27,7900;609,4900;0,0000;54,1100;45,8300;0,0000;0,0000
2010-07-01;0,0157;0,0167;0,0044;0,0164;0,0215;0,0182;0,0216;0,0059;0,0159;0,0174;0,0014;1101,6000;96,2900;81,5400;0,0300;0,0000;29,3900;650,8900;0,0000;57,4500;48,9000;0,0000;0,0000
2010-08-01;0,0040;0,0056;0,0256;0,0020;-0,0055;0,0095;-0,0069;0,0088;0,0041;0,0066;0,0016;1049,3300;99,2600;83,2000;0,0296;0,0000;27,7800;602,0600;0,0000;55,0300;46,6100;0,0000;0,0000
2010-09-01;0,0316;0,0175;0,0291;0,0208;0,0334;0,0163;0,0421;0,0231;0,0251;0,0208;0,0014;1141,2000;99,0100;78,7200;0,0301;0,0000;30,0100;676,1400;0,0000;58,8800;51,3700;0,0000;0,0000
2010-10-01;0,0217;0,0135;0,0286;0,0654;0,0220;0,0129;0,0235;0,0096;0,0180;0,0140;0,0013;1183,2600;98,7700;77,2700;0,0318;0,0000;30,8800;703,3500;0,0000;60,7000;53,8900;0,0000;0,0000
2010-11-01;0,0028;0,0005;-0,0069;0,0094;0,0082;0,0004;0,0070;-0,0019;0,0035;0,0089;0,0016;1180,5500;97,6500;81,1900;0,0316;0,0000;31,2600;727,0100;0,0000;60,3300;54,5000;0,0000;0,0000
2010-12-01;0,0274;0,0117;0,0388;0,0302;0,0351;0,0102;0,0320;0,0161;0,0189;0,0191;0,0006;1257,6400;93,8200;79,0300;0,0281;0,0000;34,1000;783,6500;0,0000;64,7500;57,2600;0,0000;0,0000
2011-01-01;0,0035;0,0092;-0,0023;0,0211;0,0097;0,0104;0,0036;-0,0035;0,0044;0,0112;0,0014;1286,1200;93,8000;77,7300;0,0270;0,0000;35,1600;781,2500;0,0000;66,1600;58,6500;0,0000;0,0000
2011-02-01;0,0114;0,0077;0,0157;0,0151;0,0128;0,0124;0,0108;0,0097;0,0086;0,0081;0,0012;1327,2200;93,3700;76,8900;0,0257;131080,0000;36,0900;823,4500;0,0000;68,6600;60,6600;0,0000;0,0000
2011-03-01;0,0032;0,0059;-0,0040;0,0028;0,0010;0,0050;0,0058;0,0020;0,0063;0,0076;0,0006;1325,8300;93,0100;75,8600;0,0262;127500,0000;37,3500;843,5500;0,0000;68,5400;60,4700;0,0000;0,0000
2011-04-01;0,0149;0,0058;0,0277;0,0164;0,0122;0,0103;0,0129;0,0138;0,0126;0,0117;0,0002;1363,6100;94,4700;72,9300;0,0256;100780,0000;38,9400;865,2900;10,3000;70,3200;62,4600;0,0000;0,0000
2011-05-01;-0,0079;0,0004;-0,0169;0,0025;-0,0039;0,0032;-0,0096;-0,0080;-0,0051;0,0001;0,0004;1345,2000;96,5900;74,6400;0,0261;92380,0000;36,2700;848,3000;10,1900;69,6100;61,7700;0,0000;0,0000
2011-06-01;-0,0104;-0,0024;-0,0185;-0,0035;-0,0121;-0,0038;-0,0108;-0,0084;-0,0069;-0,0020;0,0001;1320,6400;95,8600;74,3000;0,0275;91360,0000;34,1100;827,4300;9,9600;68,1500;60,8800;0,0000;0,0000
2011-07-01;0,0044;-0,0024;0,0216;0,0055;-0,0043;0,0039;-0,0013;0,0049;0,0017;-0,0051;0,0017;1292,2800;98,6600;73,9000;0,0276;101022,0000;35,1900;797,0300;9,7400;65,4800;60,1000;0,0000;0,0000
2011-08-01;-0,0221;-0,0153;0,0040;-0,0284;-0,0385;-0,0144;-0,0403;-0,0046;-0,0177;-0,0260;0,0001;1218,8900;103,0000;74,1200;0,0306;167420,0000;34,5900;726,8100;9,1800;61,4700;56,8800;0,0000;0,0000
